rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.946447056787090376e+06 2.243607671261167624e+01 5.155597627977056641e+12 3.892913415507335412e-02 4.988126589330390175e+02 3.763066652401212409e+00
4.990174108972586691e+06 2.330325659179614206e+01 5.051526158972030273e+12 3.946120148456100374e-02 4.982656292267940330e+02 3.630040411687136093e+00
4.983991385044980794e+06 2.187171062962381285e+01 5.069955999365408203e+12 3.914213947772952895e-02 4.987835362789090254e+02 3.997917429282492385e+00
4.925999771037966013e+06 2.205415750533368069e+01 5.089116610652326172e+12 3.908212876262467245e-02 4.992654171200145470e+02 3.762280345874585485e+00
4.973402182593214326e+06 2.263831973420499111e+01 5.052888401653446289e+12 3.884527119917068755e-02 4.935279065794031794e+02 3.802245281404206256e+00
4.591731942247505300e+06 2.270132413921579584e+01 5.002675765568500000e+12 3.973678687500558498e-02 4.996700149159252078e+02 3.701843303535234497e+00
4.983397287162949331e+06 2.247910423492275100e+01 5.191217326101478516e+12 3.831200415608412846e-02 4.992122309482372202e+02 3.731306825981851372e+00
4.875702801011396572e+06 2.215381952786124486e+01 5.136322030007378906e+12 3.926802092116907922e-02 4.988935308532957151e+02 3.830742441542939858e+00
4.924072473417774774e+06 2.250092406515772581e+01 5.017667906715742188e+12 3.948070768366829936e-02 4.992309589107491661e+02 3.829102677846968117e+00
4.981191610287634656e+06 2.287666411983198600e+01 5.152863057480890625e+12 3.860018364014493331e-02 4.984910764781014336e+02 3.887503920763504262e+00
4.978166715025119483e+06 2.282311066040262304e+01 5.012713532048518555e+12 3.923871045857965645e-02 4.990758257343670152e+02 3.700689374248432362e+00
4.919524309143176302e+06 2.171779453367909696e+01 5.150821764309858398e+12 3.929791630849103351e-02 4.986260148351773864e+02 3.936444148032583357e+00
4.972961231779122725e+06 2.181714130574983912e+01 5.214579897906275391e+12 3.869060849756564280e-02 4.994684875541892666e+02 3.830516714790924482e+00
4.884819128383675590e+06 2.290772544763397889e+01 5.722397855211842773e+12 3.717112363123788871e-02 4.998327548580929829e+02 3.844411031031985893e+00
4.995677752022631466e+06 2.207828183660889465e+01 5.063725022747491211e+12 3.905820497655021484e-02 4.993974677827916935e+02 3.841305949410896314e+00
4.996439096312480979e+06 2.257830353363640796e+01 5.098147772700819336e+12 3.912873482648913936e-02 4.998178399481198539e+02 3.711021633089821581e+00
4.644498050489993766e+06 2.387246413423254765e+01 5.147184120212103516e+12 3.888394648051484576e-02 4.981380343402126414e+02 3.758190861069045319e+00
4.883985904411310330e+06 2.243311150887195993e+01 5.237836610668336914e+12 3.873495070793318840e-02 4.976002581809602248e+02 3.893405791310644570e+00
4.930108134041303769e+06 2.268215769073236743e+01 5.068603533672503906e+12 3.938242034781457707e-02 4.980967024471351579e+02 3.833757334532023275e+00
4.976675660629699007e+06 2.294760500086366051e+01 5.258736531171498047e+12 3.840344100094215951e-02 4.954794307577046766e+02 3.706099789684595525e+00
4.979612642101909965e+06 2.297284778139284711e+01 5.381772754930701172e+12 3.851047960683060684e-02 4.999492899699833970e+02 3.644775904120252541e+00
4.987613731054631062e+06 2.198224131107205892e+01 5.016976315241747070e+12 3.936200738556257239e-02 4.995170814241270136e+02 3.896976077735000654e+00
4.974598571101823822e+06 2.223029647253985530e+01 5.281507485531540039e+12 3.849087170592037366e-02 4.987995416234638242e+02 3.709385214001367892e+00
4.920905448771214113e+06 2.247648474230009086e+01 5.019490094241706055e+12 3.934485870962364101e-02 4.999254047300041748e+02 3.719847801516273478e+00
4.932277132148282602e+06 2.227782188397572583e+01 5.001505103701250977e+12 3.916417724969283032e-02 4.980250588506183362e+02 3.836502126454282458e+00
4.977814538231706247e+06 2.300920145279269491e+01 5.411940170458413086e+12 3.820650066491216440e-02 4.995208997846705188e+02 3.668113395028067991e+00
4.739534725190829486e+06 2.284741910881494675e+01 5.112188886240208984e+12 3.923354534857156212e-02 4.998589337222716154e+02 3.814481159748043915e+00
4.999803007764054462e+06 2.194908914476127393e+01 5.038451682358795898e+12 3.916227000531634361e-02 4.975308551466588938e+02 3.944887299114028245e+00
4.952781265140878037e+06 2.294380601592013491e+01 5.095798769280861328e+12 3.935337921374429393e-02 4.996359938011490271e+02 3.615308593282811067e+00
4.974481969864537939e+06 2.171526996078969063e+01 5.001327396924117188e+12 3.933224798475814382e-02 4.991549176196533040e+02 3.712744323413415426e+00
4.955944907741686329e+06 2.225708504805864862e+01 5.030963376042997070e+12 3.947314667843866004e-02 4.998015099510651567e+02 3.824524395005893140e+00
4.987873262755213305e+06 2.280565746552748863e+01 5.300468016028214844e+12 3.806718910381586690e-02 4.995765401557858354e+02 3.850144247786697616e+00
